Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Estonia,50.9,15.4,33.9,36.6,52.9,71.3
Kuwait,50.4,31.2,41.2,34.7,47.1,85.6
Thailand,49.8,17.1,34.1,49.2,24.9,35.5
Croatia,49.7,13.5,32.4,39.9,42.4,50.4
Portugal,49.5,21.8,36.3,38.1,42.5,49.4
Oman,49.3,18.0,34.3,43.5,44.3,81.0
Belize,49.2,9.7,30.3,41.9,37.0,57.5
Saudi Arabia,48.3,11.4,30.7,37.9,33.5,100.0
Latvia,47.9,12.3,30.9,34.9,42.9,52.5
Cambodia,47.5,14.9,31.9,44.6,25.2,11.3
Fiji,47.5,18.5,33.6,52.7,35.9,33.2
Czech Republic,46.1,19.6,33.4,38.1,34.1,62.8
El Salvador,45.6,13.5,30.2,43.7,34.8,24.7
Brunei,44.7,23.1,34.4,37.1,38.1,87.0
Nicaragua,44.6,7.6,26.9,41.7,31.4,23.9
Slovakia,44.5,16.1,30.9,37.5,33.8,56.9
Lithuania,44.3,13.6,29.6,33.6,42.7,57.8
Dominican Republic,44.1,10.6,28.1,35.9,38.3,24.0
Chile,43.6,13.4,29.2,36.4,41.6,42.5
Cuba,43.5,4.8,25.0,37.4,30.9,2.2
Suriname,43.1,7.8,26.2,45.8,35.0,22.4
Namibia,43.1,16.1,30.2,36.8,39.2,55.6
South Africa,42.9,16.6,30.3,33.3,40.6,73.6
Guatemala,42.7,15.3,29.6,37.4,33.0,39.8
Honduras,42.2,10.6,27.1,33.3,30.5,30.3
Myanmar,42.1,23.8,33.3,44.7,19.0,10.2
Ecuador,41.0,12.0,27.1,35.5,30.7,36.1
Hungary,40.9,14.0,28.0,30.8,34.5,47.6
Brazil,40.2,10.6,26.1,29.2,30.8,32.8
Kenya,40.2,10.7,26.1,35.4,35.1,27.3
China,40.0,16.4,28.7,40.4,29.2,60.9
Poland,40.0,15.7,28.4,30.6,33.4,59.6
Russia,39.2,11.4,25.9,31.1,39.6,38.9
Botswana,39.1,11.1,25.7,31.7,40.0,58.1
Malaysia,39.1,11.0,25.7,37.6,22.9,64.5
Iraq,39.0,11.3,25.8,31.8,32.7,42.4
Iran,39.0,14.5,27.3,35.5,25.1,22.7
Somalia,38.7,4.8,22.5,45.9,27.0,33.2
Peru,38.7,12.8,26.3,33.8,24.7,34.0
Vietnam,38.3,13.6,26.5,37.1,19.6,28.1
Montenegro,38.2,10.4,24.9,28.6,33.2,39.8
Ghana,37.6,19.4,28.9,37.2,26.6,14.7
Philippines,37.6,9.0,23.9,33.5,20.8,23.5
Indonesia,37.3,10.6,24.5,37.4,18.3,25.1
Bulgaria,36.7,9.6,23.8,30.1,29.1,49.4
Albania,36.4,8.5,23.1,28.4,26.8,29.6
Bosnia And Herzegovina,36.0,6.7,22.0,28.1,25.1,41.8
Mexico,35.7,11.5,24.1,32.4,32.1,41.8
Serbia,35.7,9.1,23.0,25.5,28.6,36.7
Romania,35.3,10.0,23.2,29.0,30.5,48.9
Tanzania,35.3,14.0,25.1,29.7,22.6,17.6
Belarus,34.7,10.5,23.1,28.1,38.9,37.0
Turkey,34.7,6.8,21.3,29.8,24.2,40.8
Bolivia,34.6,10.9,23.3,28.1,25.1,39.3
Morocco,34.3,8.9,22.2,30.1,24.5,35.2
Moldova,33.7,8.4,21.6,26.0,27.8,27.6
Rwanda,33.3,11.9,23.1,26.8,29.2,19.3
Ukraine,33.2,10.5,22.3,26.0,26.4,31.8
Argentina,33.0,8.3,21.2,25.8,30.5,47.2
Armenia,32.8,10.9,22.4,25.6,30.4,28.0
Bangladesh,32.3,5.0,19.2,29.7,19.2,33.2
Zambia,31.7,7.4,20.1,26.9,22.1,54.1
Sri Lanka,31.6,7.7,20.2,35.1,18.8,24.5
North Macedonia,31.6,6.5,19.6,24.9,23.3,37.2
Paraguay,31.1,9.7,20.8,25.0,25.0,32.6
Nigeria,31.0,23.6,27.5,31.1,17.7,13.5
Colombia,30.7,9.6,20.6,25.1,22.4,31.1
Kazakhstan,30.6,9.8,20.7,24.3,29.9,38.4
Uganda,30.2,10.2,20.6,25.3,22.1,20.5
Algeria,30.1,5.3,18.3,30.7,15.9,28.7
Azerbaijan,29.9,9.5,20.1,23.7,30.4,30.2
Egypt,29.5,5.5,18.0,25.5,23.5,22.4
Nepal,29.0,4.8,17.4,24.9,20.4,21.9
Georgia,28.5,9.8,19.5,23.1,26.7,24.9
Kosovo (Disputed Territory),28.5,8.5,18.9,26.5,21.0,48.9
Venezuela,27.2,6.8,17.4,28.3,24.4,2.6
Tunisia,27.0,5.5,16.7,25.3,14.9,34.5
Kyrgyzstan,27.0,9.2,18.5,23.4,21.4,25.0
Uzbekistan,26.0,7.5,17.2,21.6,20.2,24.3
Syria,25.3,5.7,15.9,22.4,21.4,11.5
India,24.6,5.7,15.5,24.5,17.2,54.3
Afghanistan,24.2,4.0,14.6,17.7,17.4,28.2
Pakistan,22.0,4.6,13.7,19.1,16.8,30.6
