Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Switzerland,122.4,50.3,87.9,120.3,123.0,119.5
Norway,101.4,36.2,70.2,91.1,109.3,88.4
Iceland,100.5,47.0,74.9,86.9,113.7,79.4
Japan,83.3,26.0,55.9,81.8,48.9,87.3
Denmark,83.0,31.9,58.6,61.7,100.8,100.9
Bahamas,82.5,36.4,60.4,62.7,83.7,54.2
Luxembourg,81.9,54.9,69.0,69.1,89.8,103.9
Israel,81.2,31.3,57.3,66.3,88.6,78.1
Singapore,81.1,63.3,72.6,66.8,59.0,89.0
South Korea,78.2,22.9,51.7,91.3,44.9,85.2
Hong Kong,77.2,79.6,78.3,75.9,54.4,65.3
Barbados,76.0,19.7,49.1,65.2,68.1,51.1
Ireland,75.9,43.9,60.6,58.4,81.2,80.9
France,74.1,25.4,50.8,67.9,72.5,80.4
Netherlands,73.7,35.2,55.3,55.9,80.5,90.7
Australia,73.5,34.9,55.0,67.2,70.3,107.3
New Zealand,72.5,32.1,53.2,64.7,68.8,92.7
Belgium,71.8,25.4,49.6,58.7,80.1,86.3
Seychelles,71.6,32.3,52.8,64.6,84.9,21.7
United States,71.1,40.3,56.4,66.6,70.7,109.5
Austria,70.4,26.8,49.5,61.7,68.1,82.4
Finland,70.3,26.2,49.2,56.5,76.8,99.9
Sweden,69.8,25.9,48.8,60.5,72.3,101.7
Canada,67.6,30.7,50.0,63.7,63.5,95.1
Puerto Rico,67.5,19.3,44.5,65.8,58.7,79.4
Malta,67.5,31.0,50.0,54.9,75.9,46.3
United Kingdom,67.3,29.8,49.4,51.3,74.1,91.7
Italy,67.3,21.2,45.2,55.4,72.3,65.6
Germany,65.3,27.1,47.0,49.2,61.6,102.4
Macao,64.8,44.0,54.9,62.0,43.4,80.9
Qatar,64.0,47.4,56.1,53.6,66.8,111.7
United Arab Emirates,62.0,41.1,52.0,47.6,61.3,91.6
Taiwan,61.4,16.4,39.9,71.5,28.5,65.7
Lebanon,60.5,24.5,43.3,43.9,58.2,44.5
Bahrain,58.9,30.9,45.6,48.1,54.5,57.9
Cyprus,57.9,20.5,40.0,44.2,63.1,57.4
Jamaica,57.8,15.2,37.5,59.0,38.1,32.4
Greece,55.7,11.7,34.6,41.6,53.7,43.7
Zimbabwe,55.3,11.0,34.1,50.8,40.8,26.0
Palestine,54.5,8.8,32.7,46.7,38.9,46.9
Ethiopia,54.4,20.9,38.4,36.3,19.4,8.3
Panama,54.2,24.8,40.1,53.0,47.3,34.2
Costa Rica,54.0,15.5,35.6,49.6,43.5,42.6
Spain,53.8,21.8,38.5,42.4,52.1,72.0
Trinidad And Tobago,53.7,17.3,36.3,49.4,49.8,45.7
Jordan,53.7,11.5,33.5,43.3,47.1,34.9
Slovenia,53.4,17.1,36.0,43.8,45.4,66.3
Mauritius,53.0,12.0,33.4,48.9,44.0,30.9
Uruguay,51.0,14.4,33.5,40.1,47.4,37.5
