Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,146.0,98.6,123.8,148.7,159.2,81.1
Switzerland,123.3,53.5,90.6,128.1,122.1,118.4
Norway,100.9,34.7,69.9,97.3,105.5,83.1
Iceland,94.9,41.9,70.1,90.2,99.4,77.1
Barbados,92.4,22.0,59.4,87.8,78.2,32.1
Jersey,92.0,65.3,79.5,76.9,94.6,79.1
Israel,88.1,33.9,62.7,76.7,95.3,75.6
Denmark,84.1,33.2,60.3,68.6,98.8,99.5
Bahamas,84.0,35.3,61.2,70.6,89.1,45.1
Singapore,84.0,66.4,75.8,77.1,61.2,91.3
Guernsey,83.6,54.0,69.7,76.8,90.0,71.6
Hong Kong,80.7,74.6,77.8,84.7,58.6,65.7
Luxembourg,80.5,60.1,70.9,74.7,88.8,98.8
Australia,77.7,36.8,58.6,77.4,73.0,104.6
Japan,77.0,25.9,53.0,81.3,45.4,87.1
Ireland,76.1,42.1,60.1,62.1,80.4,82.3
Netherlands,75.7,36.1,57.1,65.5,76.4,88.0
New Zealand,74.5,34.4,55.7,72.0,70.1,83.6
France,74.1,25.3,51.3,73.6,71.8,85.4
South Korea,73.2,20.0,48.3,92.0,42.1,76.9
Finland,73.2,25.9,51.0,65.2,77.6,91.0
Belgium,72.6,25.8,50.7,63.3,78.6,79.7
Sweden,71.7,25.9,50.2,65.8,72.6,98.1
Austria,71.0,27.1,50.5,65.9,66.0,77.3
Canada,70.2,34.3,53.4,70.0,67.9,88.0
United States,70.1,42.1,57.0,70.4,70.1,106.3
United Kingdom,69.7,31.8,51.9,56.6,76.8,88.8
Lebanon,69.6,24.8,48.6,66.8,54.2,35.1
Malta,67.8,29.7,50.0,59.6,72.4,44.2
Macao,66.8,43.0,55.6,67.9,51.3,69.3
Puerto Rico,66.5,18.4,44.0,69.6,55.6,72.8
Italy,66.5,20.6,44.9,58.0,70.6,61.7
Seychelles,65.9,32.4,50.2,61.5,77.0,19.4
Germany,65.6,27.6,47.8,52.3,60.9,103.1
Qatar,62.8,48.2,56.0,55.0,63.0,93.7
Taiwan,62.4,17.7,41.4,76.2,29.4,58.3
Cyprus,59.0,22.4,41.8,49.2,61.1,57.3
United Arab Emirates,58.3,43.3,51.3,46.7,61.5,92.2
Palestine,58.1,11.0,36.0,51.2,44.6,39.8
Maldives,57.7,30.2,44.8,56.6,34.7,28.6
Greece,56.2,12.7,35.8,44.7,52.2,39.7
Cuba,55.0,15.2,36.4,47.9,33.5,1.4
Trinidad And Tobago,54.9,16.0,36.6,54.0,53.7,38.5
